;data;ora (UTC);valore;flag validazione;casta_mm;casta_flag
411;2018-11-18;04:00;3.0;0;0.0;Z
412;2018-11-18;05:00;2.9;0;0.0;Z
413;2018-11-18;06:00;2.8;0;0.0;Z
414;2018-11-18;07:00;2.5;0;0.0;Z
415;2018-11-18;08:00;2.6;0;0.0;Z
416;2018-11-18;09:00;3.4;0;0.0;Z
417;2018-11-18;10:00;5.1;0;0.0;Z
418;2018-11-18;11:00;5.2;0;0.0;Z
419;2018-11-18;12:00;6.3;0;0.0;Z
420;2018-11-18;13:00;7.3;0;0.0;Z
421;2018-11-18;14:00;7.4;0;0.0;Z
422;2018-11-18;15:00;6.8;0;0.0;Z
423;2018-11-18;16:00;4.6;0;0.0;Z
424;2018-11-18;17:00;3.8;0;0.0;Z
425;2018-11-18;18:00;3.6;0;0.0;Z
426;2018-11-18;19:00;3.2;0;0.0;Z
427;2018-11-18;20:00;3.6;0;0.0;Z
428;2018-11-18;21:00;2.8;0;0.0;Z
429;2018-11-18;22:00;2.2;0;0.0;Z
430;2018-11-18;23:00;1.9;0;0.0;Z
431;2018-11-19;00:00;1.7;0;0.0;Z
432;2018-11-19;01:00;1.5;0;0.0;Z
433;2018-11-19;02:00;1.7;0;0.0;Z
434;2018-11-19;03:00;2.8;0;0.0;Z
435;2018-11-19;04:00;2.6;0;0.0;Z
436;2018-11-19;05:00;1.5;0;0.0;Z
437;2018-11-19;06:00;1.2;0;0.0;Z
438;2018-11-19;07:00;1.3;0;0.0;Z
439;2018-11-19;08:00;1.9;0;0.0;Z
440;2018-11-19;09:00;2.4;0;0.0;Z
441;2018-11-19;10:00;2.0;0;0.0;Z
442;2018-11-19;11:00;1.1;0;0.0;Z
443;2018-11-19;12:00;1.0;0;0.2;Z
444;2018-11-19;13:00;1.2;0;0.2;Z
445;2018-11-19;14:00;0.9;0;0.2;Z
446;2018-11-19;15:00;0.2;0;0.0;Z
447;2018-11-19;16:00;0.3;0;0.0;Z
448;2018-11-19;17:00;0.3;0;0.0;Z
449;2018-11-19;18:00;0.1;0;0.2;Z
458;2018-11-20;03:00;0.1;0;0.0;Z
459;2018-11-20;04:00;0.2;0;0.0;Z
460;2018-11-20;05:00;0.4;0;0.0;Z
461;2018-11-20;06:00;0.6;0;0.2;Z
462;2018-11-20;07:00;0.6;0;0.0;Z
463;2018-11-20;08:00;1.0;0;0.2;Z
464;2018-11-20;09:00;1.8;0;0.8;Z
465;2018-11-20;10:00;2.0;0;1.8;Z
466;2018-11-20;11:00;3.0;0;1.8;Z
467;2018-11-20;12:00;3.5;0;2.0;Z
468;2018-11-20;13:00;3.1;0;1.4;Z
469;2018-11-20;14:00;2.7;0;0.2;Z
